date,full_name,stars,forks,open_issues,created_at,pushed_at,top_contributors
2026-08-30,apolloconfig/apollo,29807,10162,160,2016-03-04T10:24:23Z,2026-08-30T02:32:49Z,nobodyiam;lepdou;yiming187;klboke;Anilople
2026-08-30,dataelement/dsh-desktop,3245,186,51,2026-08-13T13:45:50Z,2026-08-30T03:07:35Z,wisdomqin;yaojin3616;ba0gu0;SuperstructureJH;AdamPlatin123
2026-08-30,eternityspring/shuohao-skills,2419,304,3,2026-08-06T10:38:49Z,2026-08-26T14:20:50Z,eternityspring;shawncodes9;Aibrother258;zqyhimself
2026-08-30,immich-app/immich,112953,6760,700,2022-02-03T15:56:27Z,2026-08-30T02:51:31Z,alextran1502;jrasm91;shenlong-tanwen;mertalev;danieldietzler
2026-08-30,angular/angular,101011,27436,1153,2014-09-18T16:12:01Z,2026-08-29T01:06:10Z,gkalpak;petebacondarwin;angular-robot;devversion;crisbeto
2026-08-30,multica-ai/multica,48251,6202,1418,2026-01-13T17:59:46Z,2026-08-30T07:08:12Z,Bohan-J;NevilleQingNY;forrestchang;ldnvnbl;multica-eve
2026-08-30,fabric8io/kubernetes-client,3671,1514,104,2015-07-09T15:43:13Z,2026-08-27T12:21:07Z,manusa;fusesource-ci;iocanel;rohanKanojia;shawkins
2026-08-30,rocketride-org/rocketride-server,7374,2763,406,2026-02-11T17:02:53Z,2026-08-29T22:10:52Z,Rod-Christensen;kwit75;asclearuc;ryan-t-christensen;anandray
2026-08-30,cactus-compute/needle,9693,625,31,2026-02-24T04:50:47Z,2026-08-29T16:01:58Z,HenryNdubuaku;ncylich;kar-m;LeonSGP43;justinl66
2026-08-30,deeplethe/utopia,677,60,1,2026-08-07T19:33:17Z,2026-08-30T02:24:53Z,WaylandYang
2026-08-30,Tianyu199509/DeskBox,2104,129,21,2026-06-11T10:55:22Z,2026-08-29T13:27:35Z,Tianyu199509
2026-08-30,MudCosmetologist/Autocad-Software,1197,120,0,2026-06-01T05:44:15Z,2026-08-26T08:16:59Z,MudCosmetologist
2026-08-30,Zeejay0/gathered-scenes-zine-skill,4577,466,12,2026-08-01T15:50:05Z,2026-08-24T09:29:24Z,Zeejay0
2026-08-30,IBM/mcp-context-forge,4386,846,1166,2025-05-08T08:16:59Z,2026-08-28T18:32:03Z,crivetimihai;madhav165;kevalmahajan;rakdutta;jonpspri
2026-08-30,holaboss-ai/holaOS,11044,717,6,2026-03-22T07:36:16Z,2026-08-21T13:11:13Z,jeffreyliimerch;jotyy;JeliPenguin;wakqasahmed;QinXi-ai
2026-08-30,conorbronsdon/avoid-ai-writing,3799,330,24,2026-03-06T07:47:40Z,2026-08-29T04:15:37Z,conorbronsdon;ClaySecAI;mbhall88;wilu222;claude
2026-08-30,plannotator/effective-html,2713,191,3,2026-06-09T23:24:51Z,2026-08-03T23:19:04Z,backnotprop;velaswami;jkklee
2026-08-30,HKUDS/DeepTutor,37865,4746,127,2025-12-28T15:35:54Z,2026-08-30T05:20:00Z,pancacake;Pinkllow;tusharkhatriofficial;scrrlt;wedone
2026-08-30,denoland/deno,108342,6360,1543,2018-05-15T01:34:26Z,2026-08-29T19:17:00Z,bartlomieju;dsherret;ry;littledivy;nayeemrmn
2026-08-30,kaifcodec/user-scanner,3736,425,12,2025-10-19T04:21:48Z,2026-08-30T06:06:34Z,kaifcodec;brunolm;VamatoHD;json-hunter07;kristoisberg
2026-08-30,google-antigravity/antigravity-sdk-python,3227,1280,35,2026-04-29T21:12:19Z,2026-08-26T19:04:13Z,karmel;abhipatel12;allenhutchison;kibergus;leehagoodjames
2026-08-30,langchain-ai/langchain,145261,24247,429,2022-10-17T02:58:36Z,2026-08-30T03:40:23Z,baskaryan;hwchase17;ccurme;mdrxy;eyurtsev
2026-08-30,spring-projects/spring-boot,81378,42079,498,2012-10-19T15:02:57Z,2026-08-29T05:27:52Z,wilkinsona;snicoll;philwebb;mhalbritter;mbhave
2026-08-30,mreflow/control-center,137,55,5,2026-08-25T07:34:23Z,2026-08-26T01:12:15Z,mreflow
2026-08-30,omdsh-dev/DSH-better-sidebar,3106,267,130,2026-08-07T16:04:00Z,2026-08-29T17:01:10Z,Menghuan1918;HuanLinOTO;Zzy-min;yanzhaohui1999;Hoemr
2026-08-30,aquasecurity/trivy,37692,640,258,2019-04-11T01:01:07Z,2026-08-28T12:50:22Z,knqyf263;DmitriyLewen;nikpivkin;simar7;afdesk
2026-08-30,agentconnect-md/agentconnect,801,25,22,2026-07-24T02:17:34Z,2026-08-30T03:20:04Z,zfy0701;spacedragon;Poytr1;frozenluo;stkevintan
2026-08-30,jhipster/generator-jhipster,22449,4190,91,2013-10-21T20:07:22Z,2026-08-30T00:32:30Z,mshima;DanielFran;jdubois;deepu105;pascalgrimaud
2026-08-30,KKKKhazix/human-writing,3279,255,7,2026-08-05T01:19:41Z,2026-08-11T15:07:45Z,KKKKhazix
